!SIL	sil
<unk>	spn
79	sj e d e m dzj e tsj oc5 t dzj e v i eo5 tsj
8	o sj e m
80	o sj e m dzj e sj oc5 t
81	o sj e m dzj e sj oc5 t j e d e n
82	o sj e m dzj e sj oc5 t d v a
83	o sj e m dzj e sj oc5 t t S i2
84	o sj e m dzj e sj oc5 t tS t e r i2
85	o sj e m dzj e sj oc5 t p i e n tsj
86	o sj e m dzj e sj oc5 t S e sj tsj
87	o sj e m dzj e sj oc5 t sj e d e m
88	o sj e m dzj e sj oc5 t o sj e m
89	o sj e m dzj e sj oc5 t dzj e v i eo5 tsj
9	dzj e v i eo5 tsj
90	dzj e v i eo5 tsj dzj e tsj oc5 t
91	dzj e v i eo5 tsj dzj e tsj oc5 t j e d e n
92	dzj e v i eo5 tsj dzj e tsj oc5 t d v a
93	dzj e v i eo5 tsj dzj e tsj oc5 t t S i2
94	dzj e v i eo5 tsj dzj e tsj oc5 t tS t e r i2
95	dzj e v i eo5 tsj dzj e tsj oc5 t p i e n tsj
96	dzj e v i eo5 tsj dzj e tsj oc5 t S e sj tsj
97	dzj e v i eo5 tsj dzj e tsj oc5 t sj e d e m
98	dzj e v i eo5 tsj dzj e tsj oc5 t o sj e m
99	dzj e v i eo5 tsj dzj e tsj oc5 t dzj e v i eo5 tsj
a	a
aachen	a a h e n
abc	a b e c e
abe	a b e
abolicji	a b o l j c j i
abonamentowych	a b o n a m e n t o v i2 h
aborcji	a b o r c j i
abrazja	a b r a z j a
abrazyjna	a b r a z i2 j n a
abrazyjne	a b r a z i2 j n e
abrazyjnej	a b r a z i2 j n e j
abrazyjną	a b r a z i2 j n oc5
abruzji	a b r u z j i
abs	a b e e s
absolutna	a b s o l u t n a
absolutnie	a b s o l u t n i e
absolutny	a b s o l u t n i2
absolutną	a b s o l u t n oc5
absolwenci	a b s o l v e n tsj i
absolwenta	a b s o l v e n t a
absolwentem	a b s o l v e n t e m
absolwentki	a b s o l v e n t k i
absolwentów	a b s o l v e n t u v
absorbować	a b s o r b o v a tsj
abstrakcji	a b s t r a k c j i
abstrakcyjne	a b s t r a k c i2 j n e
absurdalne	a b s u r d a l n e
absurdalnego	a b s u r d a l n e g o
absurdalnie	a b s u r d a l n i e
absurdu	a b s u r d u
abu	a b u
abw	a b e v u
aby	a b i2
abym	a b i2 m
abyśmy	a b i2 sj m i2
academy	a c a d e m i2
achmat	a h m a t
achmed	a h m e d
achmeda	a h m e d a
acz	a tS
aczchoj-martan	a tS h o j m a r t a n
adam	a d a m
adama	a d a m a
adamem	a d a m e m
adamie	a d a m i e
adamik	a d a m i k
adamowi	a d a m o v i
adamski	a d a m s k i
adaptacja	a d a p t a c j a
adaptacji	a d a p t a c j i
adekwatne	a d e k f a t n e
adenauer	a d e n a u e r
adenauerze	a d e n a u e Z e
adidas	a d j d a s
adidasy	a d j d a s i2
adil	a d j l
adlowie	a d l o v i e
administracja	a d m i n i s t r a c j a
administracji	a d m i n i s t r a c j i
administrację	a d m i n i s t r a c j e
administracyjne	a d m i n i s t r a c i2 j n e
administracyjnego	a d m i n i s t r a c i2 j n e g o
administracyjnej	a d m i n i s t r a c i2 j n e j
administracyjnych	a d m i n i s t r a c i2 j n i2 h
administracyjnym	a d m i n i s t r a c i2 j n i2 m
administracyjną	a d m i n i s t r a c i2 j n oc5
adnotacji	a d n o t a c j i
adolf	a d o l f
adopcji	a d o p c j i
adrenalinowy	a d r e n a l j n o v i2
adres	a d r e s
adresatem	a d r e s a t e m
adresem	a d r e s e m
adresowane	a d r e s o v a n e
adresowanym	a d r e s o v a n i2 m
adresu	a d r e s u
adresujemy	a d r e s u j e m i2
adresy	a d r e s i2
adriana	a d r j a n a
adwentystów	a d v e n t i2 s t u v
adwokaci	a d v o k a tsj i
adwokackich	a d v o k a c k i h
adwokackie	a d v o k a c k i e
adwokat	a d v o k a t
adwokata	a d v o k a t a
adwokatom	a d v o k a t o m
adwokatów	a d v o k a t u v
aetas	a e t a s
afer	a f e r
afera	a f e r a
afery	a f e r i2
aferze	a f e Z e
aferą	a f e r oc5
aferę	a f e r e
afganistan	a f g a n i s t a n
afganistanie	a f g a n i s t a n i e
afganistanu	a f g a n i s t a n u
afgańsko-pakistańskim	a f g a n~ s k o p a k i s t a n~ s k i m
afirmację	a f i r m a c j e
aforyzm	a f o r i2 z m
aforyzmami	a f o r i2 z m a m i
afp	a e f p e
afryce	a f r i2 c e
afrykanów	a f r i2 k a n u v
afryki	a f r i2 k i
after	a f t e r
ag	a g i e
agenci	a g e n tsj i
agencja	a g e n c j a
agencje	a g e n c j e
agencji	a g e n c j i
agencjom	a g e n c j o m
agencję	a g e n c j e
agendach	a g e n d a h
agent	a g e n t
agenta	a g e n t a
agentka	a g e n t k a
agentkami	a g e n t k a m i
agentów	a g e n t u v
agh	a g i e h a
agitować	a g i t o v a tsj
aglomeracjach	a g l o m e r a c j a h
agnieszka	a g n i e S k a
agnieszki	a g n i e S k i
agnieszkę	a g n i e S k e
agonia	a g o n i a
agonię	a g o n i e
agory	a g o r i2
agorze	a g o Z e
agorą	a g o r oc5
agresji	a g r e s j i
agresję	a g r e s j e
agresorów	a g r e s o r u v
agresywna	a g r e s i2 v n a
agresywne	a g r e s i2 v n e
agresywny	a g r e s i2 v n i2
agresywnych	a g r e s i2 v n i2 h
agresywnymi	a g r e s i2 v n i2 m i
agroturystycznych	a g r o t u r i2 s t i2 tS n i2 h
ahmed	a h m e d
ahmeda	a h m e d a
aids	a j d s
aist	a i s t
ak	a k a
akademia	a k a d e m i a
akademickie	a k a d e m i c k i e
akademickim	a k a d e m i c k i m
akademii	a k a d e m i i
akademię	a k a d e m i e
akcentem	a k c e n t e m
akcenty	a k c e n t i2
akcentów	a k c e n t u v
akceptacji	a k c e p t a c j i
akceptację	a k c e p t a c j e
akceptując	a k c e p t u j oc5 c
akcesja	a k c e s j a
akcesji	a k c e s j i
akcesyjnego	a k c e s i2 j n e g o
akcesyjny	a k c e s i2 j n i2
akcesyjnych	a k c e s i2 j n i2 h
akcie	a k tsj e
akcja	a k c j a
akcjach	a k c j a h
akcje	a k c j e
akcji	a k c j i
akcjonariusza	a k c j o n a r j u S a
akcjonariuszy	a k c j o n a r j u S i2
akcją	a k c j oc5
akcję	a k c j e
akcyjnych	a k c i2 j n i2 h
akcyjnym	a k c i2 j n i2 m
akcyzowym	a k c i2 z o v i2 m
akcyzową	a k c i2 z o v oc5
akcyzy	a k c i2 z i2
akira	a k i r a
aklimatyzacją	a k l j m a t i2 z a c j oc5
akompaniamencie	a k o m p a n i a m e n tsj e
akompaniament	a k o m p a n i a m e n t
akompaniatorem	a k o m p a n i a t o r e m
akompaniatorka	a k o m p a n i a t o r k a
akompaniowała	a k o m p a n i o v a w a
akp	a k a p e
akredytacji	a k r e d i2 t a c j i
akredytację	a k r e d i2 t a c j e
akredytowanego	a k r e d i2 t o v a n e g o
aksamitne	a k s a m i t n e
aksjologicznych	a k s j o l o g i tS n i2 h
aksjologicznymi	a k s j o l o g i tS n i2 m i
akt	a k t
akta	a k t a
aktami	a k t a m i
aktem	a k t e m
aktorskie	a k t o r s k i e
aktorskiej	a k t o r s k i e j
aktorskim	a k t o r s k i m
aktorstwa	a k t o r s t f a
aktorzy	a k t o Z i2
aktu	a k t u
aktualizacja	a k t u a l j z a c j a
aktualizacji	a k t u a l j z a c j i
aktualizacją	a k t u a l j z a c j oc5
aktualizację	a k t u a l j z a c j e
aktualizować	a k t u a l j z o v a tsj
aktualna	a k t u a l n a
aktualne	a k t u a l n e
aktualnego	a k t u a l n e g o
aktualnej	a k t u a l n e j
aktualnie	a k t u a l n i e
aktualności	a k t u a l n o sj tsj i
aktualny	a k t u a l n i2
aktualnych	a k t u a l n i2 h
aktywem	a k t i2 v e m
aktywistka	a k t i2 v i s t k a
aktywistów	a k t i2 v i s t u v
aktywizacji	a k t i2 v i z a c j i
aktywizacją	a k t i2 v i z a c j oc5
aktywizuje	a k t i2 v i z u j e
aktywiści	a k t i2 v i sj tsj i
aktywne	a k t i2 v n e
aktywnego	a k t i2 v n e g o
aktywnie	a k t i2 v n i e
aktywności	a k t i2 v n o sj tsj i
aktywność	a k t i2 v n o sj tsj
aktywny	a k t i2 v n i2
aktywnych	a k t i2 v n i2 h
aktywnym	a k t i2 v n i2 m
aktywną	a k t i2 v n oc5
aktywu	a k t i2 v u
aktów	a k t u v
akurat	a k u r a t
akustycznej	a k u s t i2 tS n e j
akuszerami	a k u S e r a m i
akwarelę	a k f a r e l e
akwarium	a k f a r j u m
akwariów	a k f a r j u v
akwinu	a k f i n u
akwizytorów	a k f i z i2 t o r u v
al	a l
al-aksy	a l a k s i2
al-dżazira	a l dZ a zj i r a
al-fau	a l f a u
al-kaida	a l k a i d a
al-kaidą	a l k a i d oc5
al-raszid	a l r a S j d
al-saadi	a l s a a d j
al-sahaf	a l s a h a f
al-samud	a l s a m u d
al-tadżi	a l t a dZ j
al-walida	a l v a l j d a
al-zawahiri	a l z a v a h j r j
alarm	a l a r m
alarmowa	a l a r m o v a
alarmowali	a l a r m o v a l j
alarmowała	a l a r m o v a w a
alarmowe	a l a r m o v e
alarmowego	a l a r m o v e g o
alarmowej	a l a r m o v e j
alarmowy	a l a r m o v i2
alarmowych	a l a r m o v i2 h
alarmu	a l a r m u
alarmujący	a l a r m u j oc5 c i2
alasce	a l a s c e
alaski	a l a s k i
alaskim	a l a s k i m
albo	a l b o
albowiem	a l b o v i e m
albrechta	a l b r e h t a
albright	a l b r j g h t
album	a l b u m
albumy	a l b u m i2
alcide	a l tsj i d e
ale	a l e
alejach	a l e j a h
aleje	a l e j e
aleksander	a l e k s a n d e r
aleksandr	a l e k s a n d r
aleksandra	a l e k s a n d r a
aleksandrem	a l e k s a n d r e m
aleksandrowi	a l e k s a n d r o v i
aleksandrowicach	a l e k s a n d r o v i c a h
aleksandrowickim	a l e k s a n d r o v i c k i m
aleksandrowie	a l e k s a n d r o v i e
aleksandry	a l e k s a n d r i2
aleksandrą	a l e k s a n d r oc5
aleskandra	a l e s k a n d r a
alexandrowicz	a l e k s a n d r o v i tS
aleśmy	a l e sj m i2
ależ	a l e S
alfabet	a l f a b e t
algierskiego	a l g i e r s k i e g o
ali	a l j
alianckich	a l j a n c k i h
aliansie	a l j a n sj e
alicja	a l j c j a
alienacji	a l j e n a c j i
alkohol	a l k o h o l
alkohole	a l k o h o l e
alkoholem	a l k o h o l e m
alkoholika	a l k o h o l j k a
alkoholików	a l k o h o l j k u v
alkoholizmowi	a l k o h o l j z m o v i
alkoholu	a l k o h o l u
allgemeine	a l l g e m e i n e
allos	a l l o s
alojzy	a l o j z i2
alpach	a l p a h
alpejska	a l p e j s k a
alpejskich	a l p e j s k i h
alpin	a l p i n
alternatywa	a l t e r n a t i2 v a
alternatywne	a l t e r n a t i2 v n e
alternatywny	a l t e r n a t i2 v n i2
alternatywnych	a l t e r n a t i2 v n i2 h
alternatywną	a l t e r n a t i2 v n oc5
alternatywy	a l t e r n a t i2 v i2
alternatywą	a l t e r n a t i2 v oc5
alternatywę	a l t e r n a t i2 v e
aluminiowe	a l u m i n i o v e
aluminiowych	a l u m i n i o v i2 h
aluminiową	a l u m i n i o v oc5
aluminium	a l u m i n i u m
alumni	a l u m n i
aluzje	a l u z j e
amadeus	a m a d e u s
amar	a m a r
amara	a m a r a
amatorami	a m a t o r a m i
amatorstwo	a m a t o r s t f o
amatorzy	a m a t o Z i2
amatorów	a m a t o r u v
ambasada	a m b a s a d a
ambasador	a m b a s a d o r
ambasadora	a m b a s a d o r a
ambasady	a m b a s a d i2
ambasadzie	a m b a s a dzj e
ambasadą	a m b a s a d oc5
ambasadę	a m b a s a d e
ambicjami	a m b i c j a m i
ambicje	a m b i c j e
ambicji	a m b i c j i
ambitne	a m b i t n e
ambitnej	a m b i t n e j
ambitny	a m b i t n i2
ambitnym	a m b i t n i2 m
ambroziak	a m b r o zj a k
ambulans	a m b u l a n s
amelia	a m e l j a
amer	a m e r
ameryce	a m e r i2 c e
ameryka	a m e r i2 k a
amerykach	a m e r i2 k a h
amerykanach	a m e r i2 k a n a h
amerykanami	a m e r i2 k a n a m i
amerykanie	a m e r i2 k a n i e
amerykanin	a m e r i2 k a n i n
amerykanka	a m e r i2 k a n k a
amerykanki	a m e r i2 k a n k i
amerykanom	a m e r i2 k a n o m
amerykanów	a m e r i2 k a n u v
amerykańscy	a m e r i2 k a n~ s c i2
amerykańska	a m e r i2 k a n~ s k a
amerykański	a m e r i2 k a n~ s k i
amerykańskich	a m e r i2 k a n~ s k i h
amerykańskie	a m e r i2 k a n~ s k i e
amerykańskiego	a m e r i2 k a n~ s k i e g o
amerykańskiej	a m e r i2 k a n~ s k i e j
amerykańskiemu	a m e r i2 k a n~ s k i e m u
amerykańskim	a m e r i2 k a n~ s k i m
amerykańskimi	a m e r i2 k a n~ s k i m i
amerykańsko-brytyjskie	a m e r i2 k a n~ s k o b r i2 t i2 j s k i e
amerykańską	a m e r i2 k a n~ s k oc5
ameryki	a m e r i2 k i
amicus	a m i c u s
amicusa	a m i c u s a
amnestii	a m n e s t j i
amnestię	a m n e s t j e
amnesty	a m n e s t i2
amor	a m o r
amortyzuje	a m o r t i2 z u j e
amplitudach	a m p l j t u d a h
amunicji	a m u n i c j i
an-nasirija	a n n a sj i r j j a
an-nasiriję	a n n a sj i r j j e
analitycy	a n a l j t i2 c i2
analityk	a n a l j t i2 k
analityka	a n a l j t i2 k a
analityków	a n a l j t i2 k u v
analiz	a n a l j z
analiza	a n a l j z a
analizami	a n a l j z a m i
analizie	a n a l j zj e
analizowana	a n a l j z o v a n a
analizowania	a n a l j z o v a n i a
analizował	a n a l j z o v a w
analizowała	a n a l j z o v a w a
analizują	a n a l j z u j oc5
analizując	a n a l j z u j oc5 c
analizy	a n a l j z i2
analizą	a n a l j z oc5
analizę	a n a l j z e
analogiach	a n a l o g i a h
analogiczna	a n a l o g i tS n a
analogiczną	a n a l o g i tS n oc5
anarchizacji	a n a r h j z a c j i
and	a n d
anders	a n d e r s
andreasa	a n d r e a s a
andrieja	a n d r j e j a
andrija	a n d r j j a
andrychowie	a n d r i2 h o v i e
andrzej	a n d Z e j
andrzeja	a n d Z e j a
andrzejem	a n d Z e j e m
andrzejowi	a n d Z e j o v i
anegdotę	a n e g d o t e
angażowania	a n g a Z o v a n i a
angażowany	a n g a Z o v a n i2
angażować	a n g a Z o v a tsj
angażowały	a n g a Z o v a w i2
angielski	a n g i e l s k i
angielskiego	a n g i e l s k i e g o
angielskim	a n g i e l s k i m
angielskimi	a n g i e l s k i m i
angielsku	a n g i e l s k u
anglicy	a n g l j c i2
anglii	a n g l j i
anglikami	a n g l j k a m i
anglistykę	a n g l j s t i2 k e
anglojęzycznych	a n g l o j eo5 z i2 tS n i2 h
anglosaskiego	a n g l o s a s k i e g o
ani	a n i
anielski	a n i e l s k i
animowanych	a n i m o v a n i2 h
anioł	a n i o w
aniołami	a n i o w a m i
aniołka	a n i o w k a
aniołki	a n i o w k i
aniołków	a n i o w k u v
aniołów	a n i o w u v
anita	a n i t a
anitę	a n i t e
ankarę	a n k a r e
ankiecie	a n k i e tsj e
ankieta	a n k i e t a
ankietowanych	a n k i e t o v a n i2 h
ankietowych	a n k i e t o v i2 h
ankiety	a n k i e t i2
anna	a n n a
annos	a n n o s
anny	a n n i2
anną	a n n oc5
ano	a n o
anonima	a n o n i m a
anonimowa	a n o n i m o v a
anonimowości	a n o n i m o v o sj tsj i
anonimowy	a n o n i m o v i2
ansambl	a n s a m b l
antczak	a n t tS a k
anteny	a n t e n i2
antidotum	a n t j d o t u m
antinori	a n t j n o r j
antoni	a n t o n i
antoniego	a n t o n i e g o
antonina	a n t o n i n a
antoszewski	a n t o S e v s k i
antropolodzy	a n t r o p o l o dz i2
antropolog	a n t r o p o l o g
antyamerykańskich	a n t i2 a m e r i2 k a n~ s k i h
antybiotyki	a n t i2 b i o t i2 k i
antybiotyków	a n t i2 b i o t i2 k u v
antybożą	a n t i2 b o Z oc5
antychrześcijańską	a n t i2 h Z e sj tsj i j a n~ s k oc5
antyczeczeńskich	a n t i2 tS e tS e n~ s k i h
antydemokratyczne	a n t i2 d e m o k r a t i2 tS n e
antyeuropejski	a n t i2 e u r o p e j s k i
antyeuropejskie	a n t i2 e u r o p e j s k i e
antyglobalistów	a n t i2 g l o b a l j s t u v
antyiracka	a n t i2 i r a c k a
antyirackiej	a n t i2 i r a c k i e j
antyizraelskich	a n t i2 i z r a e l s k i h
antyk	a n t i2 k
antykapitalistycznej	a n t i2 k a p i t a l j s t i2 tS n e j
antykomunistycznej	a n t i2 k o m u n i s t i2 tS n e j
antykoncentracyjne	a n t i2 k o n c e n t r a c i2 j n e
antyku	a n t i2 k u
antykwariatach	a n t i2 k f a r j a t a h
antylach	a n t i2 l a h
antyludzką	a n t i2 l u dz k oc5
antymarketową	a n t i2 m a r k e t o v oc5
antynarodową	a n t i2 n a r o d o v oc5
antypatie	a n t i2 p a t j e
antypatyczna	a n t i2 p a t i2 tS n a
antypolska	a n t i2 p o l s k a
antypolskość	a n t i2 p o l s k o sj tsj
antyrosyjska	a n t i2 r o s i2 j s k a
antyrosyjskość	a n t i2 r o s i2 j s k o sj tsj
antyrozszerzeniowych	a n t i2 r o z S e Z e n i o v i2 h
antysemicka	a n t i2 s e m i c k a
antysemityzmu	a n t i2 s e m i t i2 z m u
antyterrorysta	a n t i2 t e r r o r i2 s t a
antyterrorystom	a n t i2 t e r r o r i2 s t o m
antyterrorystyczne	a n t i2 t e r r o r i2 s t i2 tS n e
antyterrorystycznego	a n t i2 t e r r o r i2 s t i2 tS n e g o
antyterrorystycznej	a n t i2 t e r r o r i2 s t i2 tS n e j
antyterrorystycznych	a n t i2 t e r r o r i2 s t i2 tS n i2 h
antyterrorystyczną	a n t i2 t e r r o r i2 s t i2 tS n oc5
antyterrorystów	a n t i2 t e r r o r i2 s t u v
antyterroryści	a n t i2 t e r r o r i2 sj tsj i
antyukraińskie	a n t i2 u k r a i n~ s k i e
antyunijną	a n t i2 u n i j n oc5
antywłamaniowa	a n t i2 v w a m a n i o v a
antywłamaniowe	a n t i2 v w a m a n i o v e
antyzachodnich	a n t i2 z a h o d n i h
antyżydowska	a n t i2 Z i2 d o v s k a
anulowany	a n u l o v a n i2
apache	a p a h e
aparat	a p a r a t
aparatczyk	a p a r a t tS i2 k
aparatczyków	a p a r a t tS i2 k u v
aparatem	a p a r a t e m
aparatu	a p a r a t u
aparatura	a p a r a t u r a
aparaturowych	a p a r a t u r o v i2 h
aparatury	a p a r a t u r i2
aparaturę	a p a r a t u r e
apartamencie	a p a r t a m e n tsj e
apel	a p e l
apelacji	a p e l a c j i
apelacyjnej	a p e l a c i2 j n e j
apelacyjny	a p e l a c i2 j n i2
apele	a p e l e
apelem	a p e l e m
apeli	a p e l j
apelowali	a p e l o v a l j
apelowanie	a p e l o v a n i e
apelować	a p e l o v a tsj
apelował	a p e l o v a w
apelowały	a p e l o v a w i2
apelu	a p e l u
apelujcie	a p e l u j tsj e
apelujemy	a p e l u j e m i2
apelując	a p e l u j oc5 c
apetyczne	a p e t i2 tS n e
aplikacje	a p l j k a c j e
aplikację	a p l j k a c j e
aplikantów	a p l j k a n t u v
apokaliptyczne	a p o k a l j p t i2 tS n e
apokryf	a p o k r i2 f
apoloniusz	a p o l o n i u S
apostolskiego	a p o s t o l s k i e g o
apostolskiej	a p o s t o l s k i e j
apoteozy	a p o t e o z i2
aprilis	a p r j l j s
aprobaty	a p r o b a t i2
aprobatą	a p r o b a t oc5
aprobatę	a p r o b a t e
aptekach	a p t e k a h
aptekarska	a p t e k a r s k a
aptekarskiej	a p t e k a r s k i e j
aptekarską	a p t e k a r s k oc5
apulii	a p u l j i
arabia	a r a b i a
arabista	a r a b i s t a
arabowie	a r a b o v i e
arabskich	a r a b s k i h
arabskiego	a r a b s k i e g o
arabskiemu	a r a b s k i e m u
arabskimi	a r a b s k i m i
arabów	a r a b u v
arafat	a r a f a t
arafata	a r a f a t a
aranżacji	a r a n Z a c j i
arbitralna	a r b i t r a l n a
archaicznymi	a r h a i tS n i2 m i
archanioła	a r h a n i o w a
archidiecezji	a r h j d j e c e z j i
archiprezbiter	a r h j p r e z b i t e r
architekci	a r h j t e k tsj i
architekt	a r h j t e k t
architektka	a r h j t e k t k a
architektura	a r h j t e k t u r a
architektury	a r h j t e k t u r i2
architektów	a r h j t e k t u v
archiwach	a r h j v a h
archiwalnych	a r h j v a l n i2 h
archiwizowania	a r h j v i z o v a n i a
archiwów	a r h j v u v
archonci	a r h o n tsj i
arcybiskup	a r c i2 b i s k u p
arcybiskupa	a r c i2 b i s k u p a
arcybiskupem	a r c i2 b i s k u p e m
arcydramatów	a r c i2 d r a m a t u v
arcydzieł	a r c i2 dzj e w
arcydziełem	a r c i2 dzj e w e m
arcydzieło	a r c i2 dzj e w o
arcyksięcia	a r c i2 k sj eo5 tsj a
areału	a r e a w u
arek	a r e k
arenie	a r e n i e
areszcie	a r e S tsj e
areszt	a r e S t
aresztowanego	a r e S t o v a n e g o
aresztowani	a r e S t o v a n i
aresztowania	a r e S t o v a n i a
aresztowanie	a r e S t o v a n i e
aresztowaniem	a r e S t o v a n i e m
aresztowaniu	a r e S t o v a n i u
aresztowano	a r e S t o v a n o
aresztowany	a r e S t o v a n i2
aresztowanych	a r e S t o v a n i2 h
aresztował	a r e S t o v a w
aresztowała	a r e S t o v a w a
aresztu	a r e S t u
aresztując	a r e S t u j oc5 c
argument	a r g u m e n t
argumentacja	a r g u m e n t a c j a
argumentację	a r g u m e n t a c j e
argumentem	a r g u m e n t e m
argumentom	a r g u m e n t o m
argumentował	a r g u m e n t o v a w
argumentu	a r g u m e n t u
argumentuje	a r g u m e n t u j e
argumenty	a r g u m e n t i2
argumentów	a r g u m e n t u v
argun	a r g u n
ariel	a r j e l
arimoto	a r j m o t o
arimr	a e r i e m e r
arię	a r j e
arka	a r k a
arkia	a r k i a
armaty	a r m a t i2
armenii	a r m e n i i
armenią	a r m e n i oc5
armia	a r m i a
armie	a r m i e
armii	a r m i i
armią	a r m i oc5
armię	a r m i e
arnaud	a r n a u d
ars	a e r e s
arsenał	a r s e n a w
arsenałem	a r s e n a w e m
arsenału	a r s e n a w u
arthur	a r t h u r
artur	a r t u r
artushofu	a r t u s h o f u
artykuł	a r t i2 k u w
artykułach	a r t i2 k u w a h
artykułem	a r t i2 k u w e m
artykułu	a r t i2 k u w u
artykuły	a r t i2 k u w i2
artykułów	a r t i2 k u w u v
artylerii	a r t i2 l e r j i
artyleryjskie	a r t i2 l e r i2 j s k i e
artysta	a r t i2 s t a
artystką	a r t i2 s t k oc5
artystom	a r t i2 s t o m
artystyczne	a r t i2 s t i2 tS n e
artystycznego	a r t i2 s t i2 tS n e g o
artystycznej	a r t i2 s t i2 tS n e j
artystycznie	a r t i2 s t i2 tS n i e
